user_id,beach_clicks,historical_clicks,cultural_clicks,religious_clicks,avg_view_time,language,preference
0,8,8,2,6,6.53,SO,Nature
1,9,2,4,10,9.39,SO,Religious
2,4,8,7,6,17.63,SO,Historical
3,2,4,4,2,7.42,EN,Historical
4,0,0,7,1,9.49,SO,Cultural
5,0,9,7,9,13.41,EN,Historical
6,4,5,4,1,19.3,SO,Historical
7,8,1,4,1,15.5,EN,Nature
8,6,9,2,0,12.97,SO,Historical
9,9,4,1,10,8.99,SO,Religious
10,6,0,9,2,10.47,EN,Cultural
11,6,8,8,0,14.71,SO,Historical
12,0,5,7,6,17.96,SO,Cultural
13,5,6,9,2,11.28,EN,Cultural
14,6,5,5,7,19.8,SO,Religious
15,4,4,2,7,5.48,SO,Religious
16,4,5,6,8,19.25,SO,Religious
17,3,2,3,8,14.51,SO,Religious
18,2,5,2,4,16.28,EN,Historical
19,6,8,0,6,7.68,EN,Historical
20,4,2,9,2,5.19,SO,Cultural
21,0,1,4,7,12.47,SO,Religious
22,7,5,10,10,12.38,EN,Cultural
23,10,8,5,0,9.15,SO,Nature
24,9,1,2,10,9.58,SO,Religious
25,6,8,7,10,12.88,EN,Religious
26,6,6,8,4,9.2,EN,Cultural
27,4,8,3,1,10.59,EN,Historical
28,0,10,2,8,17.71,EN,Historical
29,6,2,7,7,13.95,SO,Cultural
30,9,6,8,0,7.13,EN,Nature
31,3,10,0,9,13.69,EN,Historical
32,4,2,6,0,11.99,SO,Cultural
33,6,3,7,0,10.09,EN,Cultural
34,1,3,9,1,14.75,SO,Cultural
35,9,2,10,7,9.1,EN,Cultural
36,8,5,4,5,10.21,EN,Nature
37,5,8,9,10,11.45,EN,Religious
38,9,4,4,0,11.7,SO,Nature
39,8,0,9,10,14.52,EN,Religious
40,2,6,5,10,12.93,EN,Religious
41,0,2,0,1,11.31,SO,Historical
42,10,8,0,4,13.86,EN,Nature
43,10,1,6,2,12.18,EN,Nature
44,0,4,6,6,12.02,EN,Cultural
45,4,6,4,8,12.11,EN,Religious
46,0,1,5,5,11.12,SO,Cultural
47,3,2,4,8,16.58,EN,Religious
48,4,4,2,10,7.38,EN,Religious
49,0,8,1,8,7.54,EN,Historical
50,6,1,5,8,19.49,SO,Religious
51,3,5,5,3,16.85,EN,Historical
52,3,6,5,1,9.56,SO,Historical
53,9,6,4,1,12.35,EN,Nature
54,6,9,2,7,16.77,EN,Historical
55,4,8,10,7,17.75,SO,Cultural
56,5,2,9,5,18.8,EN,Cultural
57,6,10,0,1,15.91,SO,Historical
58,0,8,2,8,5.28,SO,Historical
59,1,6,0,7,14.37,SO,Religious
60,4,9,2,3,16.6,EN,Historical
61,1,5,7,5,10.98,SO,Cultural
62,1,8,3,5,11.42,SO,Historical
63,5,2,1,10,7.93,EN,Religious
64,2,3,10,5,16.06,SO,Cultural
65,7,4,8,8,13.16,EN,Cultural
66,0,0,4,0,8.72,SO,Cultural
67,10,10,0,3,6.85,SO,Nature
68,9,2,4,3,13.57,EN,Nature
69,0,10,7,10,11.24,EN,Historical
70,2,5,6,9,10.87,SO,Religious
71,10,6,4,6,12.77,EN,Nature
72,6,6,4,10,7.14,SO,Religious
73,10,9,3,5,16.07,SO,Nature
74,1,4,2,0,18.9,SO,Historical
75,10,10,9,6,15.68,SO,Nature
76,9,2,8,2,20.0,EN,Nature
77,0,4,8,3,9.92,SO,Cultural
78,7,2,8,5,17.21,SO,Cultural
79,5,9,8,6,19.11,EN,Historical
80,10,1,2,4,11.23,EN,Nature
81,5,0,3,4,12.14,SO,Nature
82,1,9,1,3,11.28,SO,Historical
83,8,10,2,1,10.57,EN,Historical
84,0,8,5,7,5.54,EN,Historical
85,4,5,10,2,6.04,SO,Cultural
86,2,3,7,6,16.0,SO,Cultural
87,8,6,5,6,19.87,SO,Nature
88,7,10,0,8,7.92,SO,Historical
89,8,7,9,9,18.01,EN,Cultural
90,2,10,8,5,9.59,SO,Historical
91,6,0,6,7,9.92,SO,Religious
92,2,6,4,1,16.01,EN,Historical
93,10,9,2,5,9.14,SO,Nature
94,8,9,7,9,12.62,EN,Historical
95,1,0,8,1,6.06,EN,Cultural
96,10,7,0,4,15.93,EN,Nature
97,3,0,7,8,16.56,EN,Religious
98,3,6,7,7,6.76,EN,Cultural
99,9,2,5,7,19.49,EN,Nature
100,4,6,2,4,10.82,SO,Historical
101,6,10,5,1,8.04,EN,Historical
102,10,0,7,3,9.21,SO,Nature
103,8,8,6,3,5.93,SO,Nature
104,9,1,10,9,13.94,EN,Cultural
105,1,9,2,10,14.32,EN,Religious
106,2,9,7,3,16.18,SO,Historical
107,7,0,5,6,13.0,EN,Nature
108,8,2,10,6,7.49,EN,Cultural
109,8,9,10,3,18.5,SO,Cultural
110,7,6,2,5,8.41,SO,Nature
111,10,2,5,0,11.34,EN,Nature
112,10,5,7,4,8.63,EN,Nature
113,5,10,10,3,10.05,SO,Historical
114,2,5,6,8,8.51,EN,Religious
115,4,8,0,6,9.18,EN,Historical
116,8,7,1,8,11.0,EN,Nature
117,6,5,3,4,12.0,SO,Nature
118,3,4,9,1,18.23,EN,Cultural
119,10,10,9,9,14.96,SO,Nature
120,4,7,5,7,6.86,SO,Historical
121,4,10,10,4,11.98,SO,Historical
122,9,4,2,7,19.93,SO,Nature
123,4,9,2,3,8.09,EN,Historical
124,3,9,6,7,14.39,SO,Historical
125,3,5,6,6,6.64,SO,Cultural
126,5,8,0,6,9.45,SO,Historical
127,10,3,7,4,5.53,SO,Nature
128,8,8,2,7,18.16,SO,Nature
129,5,1,1,1,18.02,SO,Nature
130,3,1,9,8,7.41,SO,Cultural
131,4,2,7,7,16.74,EN,Cultural
132,10,3,2,6,9.13,EN,Nature
133,1,4,1,7,17.58,SO,Religious
134,2,4,6,0,11.8,SO,Cultural
135,3,4,4,6,14.38,SO,Religious
136,10,7,2,2,15.6,EN,Nature
137,3,3,8,6,17.31,SO,Cultural
138,9,2,3,0,6.41,EN,Nature
139,4,8,1,8,18.79,SO,Historical
140,1,3,5,2,16.33,EN,Cultural
141,10,4,9,8,18.31,SO,Nature
142,2,0,7,2,14.81,SO,Cultural
143,2,9,6,9,15.08,EN,Historical
144,1,6,7,8,13.3,SO,Religious
145,9,3,9,5,11.37,SO,Nature
146,2,6,0,4,7.7,EN,Historical
147,7,0,10,4,9.4,EN,Cultural
148,7,7,10,0,10.66,SO,Cultural
149,7,5,5,4,11.28,SO,Nature
150,9,7,1,4,17.0,EN,Nature
151,9,7,1,4,9.09,EN,Nature
152,10,4,3,5,13.31,SO,Nature
153,2,2,9,5,14.74,SO,Cultural
154,10,4,0,2,13.86,SO,Nature
155,6,3,6,10,15.84,SO,Religious
156,9,10,2,0,15.65,EN,Historical
157,10,6,2,3,16.16,EN,Nature
158,0,9,5,5,5.55,EN,Historical
159,5,6,10,0,10.42,EN,Cultural
160,10,1,6,6,5.09,SO,Nature
161,9,7,6,5,19.22,SO,Nature
162,6,4,3,2,7.57,EN,Nature
163,0,3,10,5,13.11,SO,Cultural
164,4,9,0,5,17.85,SO,Historical
165,5,5,6,7,13.78,EN,Religious
166,9,10,7,5,12.92,EN,Historical
167,8,7,8,9,13.8,SO,Religious
168,0,10,8,8,9.74,SO,Historical
169,9,9,10,7,11.09,SO,Cultural
170,3,4,3,6,19.06,EN,Religious
171,6,1,1,8,8.64,SO,Religious
172,4,9,2,9,16.57,EN,Historical
173,5,7,0,10,7.81,EN,Religious
174,6,7,1,5,17.52,SO,Historical
175,6,1,5,1,11.69,SO,Nature
176,9,9,4,7,19.25,SO,Nature
177,6,2,8,3,11.47,SO,Cultural
178,3,4,0,1,14.76,EN,Historical
179,9,0,4,5,5.03,SO,Nature
180,2,2,6,5,10.7,EN,Cultural
181,7,10,5,7,16.77,EN,Historical
182,3,7,9,3,5.09,EN,Cultural
183,4,0,1,7,11.73,EN,Religious
184,7,0,8,1,19.17,EN,Cultural
185,8,3,7,0,15.41,EN,Nature
186,2,9,0,7,8.91,SO,Historical
